variant,wallet_$,compound_end_$,annual_%,avg_per_year_%,best_yr_%,worst_yr_%,positive_yrs
13 SOL_Shield_RS_AGGR,500,9280.0,62.7,183.8,902.6,-43.1,3
11 ETH_Shield_RS_AGGR,1000,7003.0,38.3,55.4,249.6,-11.7,4
12 SOL_DynRebal_P20,500,2623.0,31.8,178.4,637.9,-87.2,3
09 PURE_Shield_RS_AGGR,10000,36853.0,24.3,28.2,73.7,-13.4,4
10 ETH_DynRebal_P20,1000,2656.0,17.7,47.6,271.0,-55.1,3
04 DynRebal_P20_SHIELD,10000,24732.0,16.3,28.0,102.7,-51.2,4
02 Rebal_R5_SHIELD,10000,24386.0,16.0,27.6,101.3,-51.2,4
06 3Layer_AGGR_SHIELD,10000,22153.0,14.2,24.0,91.0,-49.1,4
03 DynRebal_P20,10000,21692.0,13.8,27.5,105.3,-53.5,3
05 3Layer_AGGR,10000,21385.0,13.5,24.4,97.5,-45.8,3
01 Rebal_R5,10000,21412.0,13.5,27.2,104.5,-53.3,3
08 Adaptive_AGGR_SHIELD,10000,20896.0,13.1,22.4,97.9,-43.7,4
07 Adaptive_AGGR,10000,18449.0,10.7,21.5,100.6,-47.5,4
