variant,year,roi_%
OC_BAL,2021,41.3
OC_BAL,2022,-36.6
OC_BAL,2023,70.5
OC_BAL,2024,61.8
OC_BAL,2025,-3.4
OC_BAL,2026Q12,-9.9
OC_AGGR,2021,40.0
OC_AGGR,2022,-42.8
OC_AGGR,2023,121.9
OC_AGGR,2024,77.5
OC_AGGR,2025,-5.0
OC_AGGR,2026Q12,6.7
OC_TIGHT,2021,28.6
OC_TIGHT,2022,-36.9
OC_TIGHT,2023,69.1
OC_TIGHT,2024,77.3
OC_TIGHT,2025,-5.1
OC_TIGHT,2026Q12,-14.7
OC_NOSHIELD,2021,46.9
OC_NOSHIELD,2022,-50.7
OC_NOSHIELD,2023,74.3
OC_NOSHIELD,2024,58.3
OC_NOSHIELD,2025,-11.4
OC_NOSHIELD,2026Q12,-9.3
Pure_Shield,2021,47.0
Pure_Shield,2022,-13.4
Pure_Shield,2023,73.7
Pure_Shield,2024,52.9
Pure_Shield,2025,9.0
Pure_Shield,2026Q12,0.0
