strategy,year,roi_%
Rebalance_R5,2021,49.0
Rebalance_R5,2022,-53.3
Rebalance_R5,2023,104.5
Rebalance_R5,2024,79.7
Rebalance_R5,2025,-4.3
Rebalance_R5,2026Q12,-12.5
DynRebal_P20,2021,50.9
DynRebal_P20,2022,-53.5
DynRebal_P20,2023,105.3
DynRebal_P20,2024,78.8
DynRebal_P20,2025,-4.3
DynRebal_P20,2026Q12,-12.0
3Layer_AGGR,2021,33.7
3Layer_AGGR,2022,-45.8
3Layer_AGGR,2023,97.5
3Layer_AGGR,2024,77.5
3Layer_AGGR,2025,-5.2
3Layer_AGGR,2026Q12,-11.2
Adaptive_AGGR,2021,13.4
Adaptive_AGGR,2022,-47.5
Adaptive_AGGR,2023,100.6
Adaptive_AGGR,2024,73.2
Adaptive_AGGR,2025,0.1
Adaptive_AGGR,2026Q12,-10.9
