mode,year,roi_%
RS_FAST,2021,28.1
RS_FAST,2022,-12.8
RS_FAST,2023,41.8
RS_FAST,2024,43.9
RS_FAST,2025,5.3
RS_FAST,2026Q12,0.0
RS_MED,2021,47.6
RS_MED,2022,-11.8
RS_MED,2023,64.1
RS_MED,2024,46.6
RS_MED,2025,8.0
RS_MED,2026Q12,0.0
RS_SLOW,2021,29.9
RS_SLOW,2022,-13.1
RS_SLOW,2023,62.7
RS_SLOW,2024,56.0
RS_SLOW,2025,7.1
RS_SLOW,2026Q12,0.0
RS_AGGR,2021,47.0
RS_AGGR,2022,-13.4
RS_AGGR,2023,73.7
RS_AGGR,2024,52.9
RS_AGGR,2025,9.0
RS_AGGR,2026Q12,0.0
RS_DEFENSIVE,2021,40.2
RS_DEFENSIVE,2022,-9.8
RS_DEFENSIVE,2023,35.2
RS_DEFENSIVE,2024,41.5
RS_DEFENSIVE,2025,6.4
RS_DEFENSIVE,2026Q12,0.0
