scenario,strategy,period_yr,final,roi_%,max_dd_%,sharpe,trades,annual_%
REAL_BTC_5Y,REBAL_75,5.0,26751.0,167.5,64.9,0.53,1826,21.8
REAL_BTC_5Y,DYN_P20,5.0,26122.0,161.2,64.8,0.52,16,21.2
REAL_BTC_5Y,HOLD_BTC,5.0,30257.0,202.6,76.6,0.53,1,24.8
REAL_BTC_5Y,HOLD_USDT,5.0,10000.0,0.0,0.0,0.0,0,0.0
SYN_BEAR,REBAL_75,1.5,2306.0,-76.9,80.9,-1.34,546,-62.5
SYN_BEAR,DYN_P20,1.5,2309.0,-76.9,80.9,-1.36,6,-62.5
SYN_BEAR,HOLD_BTC,1.5,1292.0,-87.1,89.9,-1.33,1,-74.6
SYN_BEAR,HOLD_USDT,1.5,10000.0,0.0,0.0,0.0,0,0.0
SYN_CHOP,REBAL_75,1.5,9143.0,-8.6,21.1,-0.32,546,-5.8
SYN_CHOP,DYN_P20,1.5,9124.0,-8.8,21.1,-0.34,0,-5.9
SYN_CHOP,HOLD_BTC,1.5,8834.0,-11.7,27.4,-0.32,1,-8.0
SYN_CHOP,HOLD_USDT,1.5,10000.0,0.0,0.0,0.0,0,0.0
SYN_BLEED,REBAL_75,1.5,7244.0,-27.6,33.3,-0.96,546,-19.4
SYN_BLEED,DYN_P20,1.5,7274.0,-27.3,32.8,-0.99,1,-19.2
SYN_BLEED,HOLD_BTC,1.5,6448.0,-35.5,42.1,-0.96,1,-25.4
SYN_BLEED,HOLD_USDT,1.5,10000.0,0.0,0.0,0.0,0,0.0
